subject,exp_num,C,modality
1,6,0.954545454545455,ED
1,6,0.892857142857143,EE
2,6,0.852272727272727,ED
2,6,0.6875,EE
3,6,0.857954545454545,ED
3,6,0.732142857142857,EE
4,6,0.903409090909091,ED
4,6,0.955357142857143,EE
5,6,0.801136363636364,ED
5,6,0.633928571428571,EE
6,6,0.920454545454545,ED
6,6,0.866071428571429,EE
7,6,0.892045454545455,ED
7,6,0.794642857142857,EE
8,6,0.863636363636364,ED
8,6,0.732142857142857,EE
9,6,0.835227272727273,ED
9,6,0.732142857142857,EE
10,6,0.920454545454545,ED
10,6,0.875,EE
11,6,0.715909090909091,ED
11,6,0.714285714285714,EE
12,6,0.869318181818182,ED
12,6,0.741071428571429,EE
13,6,0.880681818181818,ED
13,6,0.839285714285714,EE
14,6,0.909090909090909,ED
14,6,0.830357142857143,EE
15,6,0.823863636363636,ED
15,6,0.669642857142857,EE
16,6,0.971590909090909,ED
16,6,0.955357142857143,EE
17,6,0.875,ED
17,6,0.696428571428571,EE
18,6,0.840909090909091,ED
18,6,0.741071428571429,EE
19,6,0.988636363636364,ED
19,6,0.964285714285714,EE
20,6,0.897727272727273,ED
20,6,0.794642857142857,EE
21,6,0.795454545454545,ED
21,6,0.714285714285714,EE
22,6,0.943181818181818,ED
22,6,0.803571428571429,EE
23,6,0.8125,ED
23,6,0.767857142857143,EE
24,6,0.8125,ED
24,6,0.544642857142857,EE
25,6,0.897727272727273,ED
25,6,0.803571428571429,EE
26,6,0.795454545454545,ED
26,6,0.723214285714286,EE
27,6,0.835227272727273,ED
27,6,0.767857142857143,EE
28,6,0.863636363636364,ED
28,6,0.723214285714286,EE
29,6,0.835227272727273,ED
29,6,0.607142857142857,EE
30,6,0.880681818181818,ED
30,6,0.758928571428571,EE
31,6,0.909090909090909,ED
31,6,0.901785714285714,EE
32,6,0.926136363636364,ED
32,6,0.857142857142857,EE
33,6,0.806818181818182,ED
33,6,0.508928571428571,EE
34,6,0.892045454545455,ED
34,6,0.803571428571429,EE
35,6,0.897727272727273,ED
35,6,0.803571428571429,EE
36,6,0.875,ED
36,6,0.767857142857143,EE
37,6,0.892045454545455,ED
37,6,0.785714285714286,EE
38,6,0.8125,ED
38,6,0.482142857142857,EE
39,6,0.835227272727273,ED
39,6,0.732142857142857,EE
40,6,0.9375,ED
40,6,0.857142857142857,EE
41,6,0.835227272727273,ED
41,6,0.535714285714286,EE
42,6,0.806818181818182,ED
42,6,0.642857142857143,EE
43,6,0.818181818181818,ED
43,6,0.723214285714286,EE
44,6,0.971590909090909,ED
44,6,0.9375,EE
45,6,0.8125,ED
45,6,0.491071428571429,EE
46,6,0.75,ED
46,6,0.732142857142857,EE
47,6,0.806818181818182,ED
47,6,0.6875,EE
48,6,0.948863636363636,ED
48,6,0.821428571428571,EE
49,6,0.863636363636364,ED
49,6,0.8125,EE
50,6,0.829545454545455,ED
50,6,0.571428571428571,EE
51,6,0.909090909090909,ED
51,6,0.803571428571429,EE
52,6,0.715909090909091,ED
52,6,0.517857142857143,EE
53,6,0.857954545454545,ED
53,6,0.705357142857143,EE
54,6,0.8125,ED
54,6,0.580357142857143,EE
55,6,0.801136363636364,ED
55,6,0.428571428571429,EE
56,6,0.818181818181818,ED
56,6,0.571428571428571,EE
57,6,0.892045454545455,ED
57,6,0.732142857142857,EE
58,6,0.767045454545455,ED
58,6,0.660714285714286,EE
59,6,0.806818181818182,ED
59,6,0.607142857142857,EE
60,6,0.818181818181818,ED
60,6,0.589285714285714,EE
61,6,0.806818181818182,ED
61,6,0.446428571428571,EE
62,6,0.8125,ED
62,6,0.678571428571429,EE
63,6,0.857954545454545,ED
63,6,0.678571428571429,EE
64,6,0.903409090909091,ED
64,6,0.910714285714286,EE
65,6,0.863636363636364,ED
65,6,0.75,EE
66,6,0.8125,ED
66,6,0.473214285714286,EE
67,6,0.744318181818182,ED
67,6,0.616071428571429,EE
68,8,0.5859375,ED
68,8,0.660714285714286,EE
69,8,0.5078125,ED
69,8,0.571428571428571,EE
70,8,0.5,ED
70,8,0.732142857142857,EE
71,8,0.8828125,ED
71,8,0.839285714285714,EE
72,8,0.7421875,ED
72,8,0.839285714285714,EE
73,8,0.6640625,ED
73,8,0.678571428571429,EE
74,8,0.5234375,ED
74,8,0.732142857142857,EE
75,8,0.6640625,ED
75,8,0.75,EE
76,8,0.7421875,ED
76,8,0.741071428571429,EE
77,8,0.6796875,ED
77,8,0.758928571428571,EE
78,8,0.6484375,ED
78,8,0.767857142857143,EE
